quarter_str,-1,0,1,2,3,4,5,6,7,8,9
2016Q2,0,0,0,0,1,0,0,0,3,0,5
2023Q4,0,0,2,0,0,0,0,1,1,0,10
2025Q1,2,1,0,3,5,0,2,0,4,0,23
2025Q3,1,4,2,2,4,1,0,0,11,1,40
2025Q4,93,34,108,70,252,12,55,22,437,45,1232
NaT,35,2,30,24,103,11,26,6,167,17,469
