quarter_str,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0
2016Q2,1,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,6,0,3,2,0,0,0,2,0
2023Q4,4,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0
2025Q1,22,4,0,0,0,0,9,0,0,0,0,1,2,0,0,1,2,0,1,1,1,0,0,0,2,1,1,0,0,1,5,1,0,2,2,0,1,0,0
2025Q3,35,3,2,1,1,4,11,0,6,2,0,10,8,2,0,3,4,1,2,0,0,0,0,4,7,1,4,2,0,7,11,5,4,4,3,1,6,0,0
2025Q4,1021,132,58,18,76,189,338,47,44,52,10,175,106,27,23,102,35,35,66,137,52,36,28,102,205,91,252,49,22,64,245,54,153,171,133,37,114,26,41
