quarter_str,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2016Q2,6,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,6,7
2023Q4,3,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,1,3,1,0,0,1,0,6
2025Q1,23,0,0,0,0,0,2,9,0,0,1,0,2,2,0,2,1,0,1,1,4,1,5,6
2025Q3,38,2,1,4,2,2,9,10,2,6,10,4,4,8,0,2,4,0,0,3,5,5,11,22
2025Q4,1213,61,89,187,51,28,78,331,97,44,153,101,301,95,124,26,180,63,36,103,177,63,244,721
