quarter_str,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
2016Q2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0
2023Q4,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1,0,1,3,0,3,2,0,0
2025Q1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,1,0,0,6,9,0,0,1,0,1,0,0,0,9,3,0,0,3,0,0,4,1,0
2025Q3,42,0,2,2,1,0,2,1,0,2,0,2,4,3,2,0,0,0,0,0,0,0,1,8,0,1,1,0,1,3,0,2,1,1,9,0,2,0,2,0,1,0,0,1,21,6,1,0,11,0,2,5,1,0
2025Q4,1278,26,127,5,19,16,19,23,9,22,23,23,94,49,28,15,30,12,21,15,35,14,59,371,11,26,57,9,34,46,10,26,14,20,328,14,82,14,17,13,17,12,17,65,743,183,13,9,316,8,43,138,89,21
NaT,535,8,51,4,8,7,4,4,5,8,13,0,33,7,4,9,22,6,5,3,6,5,37,138,5,7,19,4,6,20,0,9,2,5,131,6,35,10,8,2,7,4,7,20,252,77,6,7,117,6,14,59,28,3
