Pipeline,Precision,Recall,F1,Support,Predicted
Pipeline A (NER+Regex) (hard),0.2057,0.2827,0.2381,1836,2523
Pipeline B (gemma-3-4b-instruct) (hard),0.4873,0.4364,0.4605,1888,1691
