Pipeline,Precision,Recall,F1,ESCO_Coverage
Pipeline A (NER+Regex) (hard),0.6484,0.8137,0.7217,0.1090
Pipeline B (gemma-3-4b-instruct) (hard),0.8925,0.7981,0.8426,0.1260
