quarter_str,-1,0,1,2,3,4
2016Q2,0,1,0,0,0,7
2023Q4,2,0,0,3,1,4
2025Q1,1,1,0,4,1,18
2025Q3,3,4,4,3,5,35
2025Q4,169,67,37,81,181,878
